거리구간,카페수,비율(%)
0 ~ 50m,1837,6.741284403669725
50 ~ 100m,3138,11.51559633027523
100 ~ 300m,11248,41.27706422018348
300 ~ 500m,5560,20.403669724770644
500 ~ 1km,4675,17.155963302752294
1km 이상,792,2.906422018348624
